EC50_1,SMILES,EC50_0,EC50_2,EC50_3,EC50_4,EC50_5
,COc1ccc(CN(C(=O)C(N)Cc2c(C)cc(C(N)=O)cc2C)C(C)c2nc(-c3ccccc3)c[nH]2)cc1C(=O)O,-2.6989700043360187,,,,
,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,-0.7634279935629372,,,,-1.0
,CC(=O)OC1Cc2ccccc2N(C(N)=O)c2ccccc21,-2.397940008672037,,-2.0805363001325907,-2.3891660843645326,
,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,-1.9030899869919435,,-2.4471580313422194,-2.0588054866759067,
,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,-1.9030899869919435,,-2.4471580313422194,-1.8920946026904804,
,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,-1.9030899869919435,,-2.0791812460476247,-2.0588054866759067,
,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,-1.9030899869919435,,-2.0791812460476247,-1.8920946026904804,
,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,-0.0,,-2.4471580313422194,-2.0588054866759067,
,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,-0.0,,-2.4471580313422194,-1.8920946026904804,
,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,-0.0,,-2.0791812460476247,-2.0588054866759067,
,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,-0.0,,-2.0791812460476247,-1.8920946026904804,
,CC(C)=CCc1c(O)n(-c2ccccc2)n(-c2ccccc2)c1=O,-2.7781512503836434,,,-2.0211892990699383,
,COC1OC(COS(=O)(=O)O)C(OC2OC(C(=O)O)C(OC3OC(COS(=O)(=O)O)C(OC4OC(C(=O)O)C(OC5OC(COS(=O)(=O)O)C(O)C(O)C5NS(=O)(=O)O)C(O)C4O)C(OS(=O)(=O)O)C3NS(=O)(=O)O)C(O)C2OS(=O)(=O)O)C(O)C1NS(=O)(=O)O,-1.0,,-1.0,,
,CC(C)CN(CC(O[PH](=O)(=O)O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1,-3.3502480183341627,,-2.9080311028032235,,
,CC(C)c1cccc(C(C)C)c1OCO[PH](=O)(=O)O,-1.9890046156985368,,,,-0.6989700043360189
,NCC1(CC(=O)O)CCCCC1,-3.00966331667938,,-3.3010299956639813,-3.3452336581560345,-3.1760912590556813
,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,-1.3010299956639813,,,-1.3617278360175928,
,CSCCC(NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)C(CCC(N)=O)NC(=O)C(C)NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(N)=O)NC(=O)C(CO)NC(=O)C(N)Cc1c[nH]cn1)C(C)O)C(C)O)C(C)C)C(=O)NC(CC(N)=O)C(=O)NC(C(=O)O)C(C)O,-0.3010299956639812,,-1.070037866607755,-0.6989700043360189,
,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,-0.9030899869919436,,,-2.0310042813635367,
,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,-2.096910013008056,,-1.9420080530223127,,
,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-1.1760912590556811,,-1.1760912590556811,,
,CCCCCN(C)CCC(O)([PH](=O)(=O)O)[PH](=O)(=O)O,-1.9294189257142929,,-0.0,-1.5314789170422551,
,C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,-2.3521825181113627,,,-2.355387657986574,
,CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,-3.24551266781415,,-2.584331224367531,-2.7592480336546177,
,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,-1.7481880270062005,,,-0.7403626894942439,
,NNC(=O)c1ccncc1,-0.8750612633917001,,,-1.859338479128867,
,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,-2.397940008672037,-2.669006780958576,-2.375663613960885,-2.096910013008056,
,C/C(=C\c1csc(C)n1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)N1,-0.4771212547196624,,,-0.4771212547196624,
,NC(Cc1ccc(O)c(O)c1)C(=O)O,-2.255272505103306,,,,
,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,-8.204119982655925,,,-8.406114195235645,
,CC1NC(=O)C2CCCN2C(=O)C(CC(N)=O)NC(=O)C2CSSCC(N)C(=O)NC3CSSCC(NC1=O)C(=O)NC(C(C)O)C(=O)NCC(=O)NC(C(=O)NC(Cc1ccc(O)cc1)C(=O)O)CSSCC(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CCC(=O)O)NC3=O)C(=O)N2,-2.0,,,-2.028028723600244,
