EC50_0,SMILES,EC50_1,EC50_2,EC50_3,EC50_4,EC50_5,EC50_6,EC50_7,EC50_8,EC50_9,EC50_10,EC50_11,EC50_12,EC50_13,EC50_14,EC50_15,EC50_16,EC50_17,EC50_18,EC50_19,EC50_20,EC50_21
-2.6989700043360187,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,,,,,,,,,,,,,-2.7781512503836434,,-2.7781512503836434,,-2.6989700043360187,-2.7781512503836434,,-2.7781512503836434,-2.6989700043360187
-2.6020599913279625,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,,,,,,,,,,,,,-2.6020599913279625,,-2.6532125137753435,,-2.5415792439465807,,-2.6020599913279625,-2.9542425094393248,
-0.3010299956639812,CS(=O)(=O)OCCCCOS(C)(=O)=O,,,,,,,,,,,,,,,,-0.3010299956639812,,-0.6020599913279624,-0.6020599913279624,,
-2.6020599913279625,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F,,,,,,,,,,,,,-2.6020599913279625,,,,-2.6020599913279625,,,,
-0.4771212547196624,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,,,,,,,,,,,,,,,-0.4771212547196624,,,,-0.4771212547196624,,
-3.0791812460476247,NC(=O)N1c2ccccc2C=Cc2ccccc21,,,,,,,-3.0791812460476247,,,-3.0,,,-3.0,,-3.0791812460476247,,,,,,
-1.0791812460476249,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,,,,,,,,,,,,,-1.0791812460476249,,,,,-1.0791812460476249,,,-0.7781512503836436
-1.4771212547196624,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,,,,,-1.4771212547196624,,,,,,,,,,,,,,,,
-2.7781512503836434,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,-2.7781512503836434,,,,-2.7781512503836434,,,-2.7781512503836434,,-2.7781512503836434,,,-1.146128035678238,,,,,-1.146128035678238,-2.7781512503836434,,
-3.3010299956639813,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,,,-3.3010299956639813,,,,,,,-3.3010299956639813,,,,,-3.3010299956639813,,,-3.3010299956639813,-3.3010299956639813,,
-3.3010299956639813,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1,,,,,-3.3010299956639813,,,,,,,,,,,,,,,,
-3.6020599913279625,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21,,,,,,,,,,-3.6020599913279625,,,,,,,,,,,
-2.903089986991944,COCC1=C(C(=O)OC(C)OC(=O)OC(C)C)N2C(=O)[C@@H](NC(=O)/C(=N/OC)c3csc(N)n3)[C@H]2SC1,,,-2.3010299956639813,-2.3010299956639813,-2.903089986991944,,,,,,,,,,,,,,,,
-3.4771212547196626,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,,,,,-3.4771212547196626,,,,,,,,,,,,,-1.380211241711606,,,
-3.4771212547196626,CC(C)(O/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@@H]12)c1csc(N)n1)C(=O)[O-],,,,,,,,,,,,,,,,,,,,,
-3.0,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OC(C)OC(C)=O)=C(COC(N)=O)CS[C@H]12)c1ccco1,,,,,-3.0,,,,,,,,,,,,,,-3.0,,
-3.3521825181113627,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@H]12)c1ccco1,,,,,,,,,,,,,,,,,,,,,
-2.903089986991944,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,,,,-2.903089986991944,,,,,,-2.6020599913279625,,,-2.6020599913279625,,,,,,-2.6020599913279625,,
-2.6020599913279625,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl,,,,-2.6020599913279625,,,,,,,,-2.397940008672037,,,,,,,,,
-2.8750612633917,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,-2.8750612633917,,,,-2.8750612633917,-2.8750612633917,,,,,,,-2.8750612633917,,-2.8750612633917,,-2.8750612633917,-2.8750612633917,-2.8750612633917,-2.8750612633917,
-1.0,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,-1.0,-1.0,,,-0.6989700043360189,,,,,,-1.0,,-1.0,,,,,,-1.3010299956639813,,
-2.6989700043360187,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,,,-2.6020599913279625,-2.6020599913279625,,,-3.6989700043360183,,,-2.6020599913279625,-3.3010299956639813,,-3.3010299956639813,,,-2.6020599913279625,,-2.4771212547196626,-3.3010299956639813,,
-2.397940008672037,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,,,,,,,,,,,,,-2.3010299956639813,,,,-2.397940008672037,,-2.397940008672037,-2.397940008672037,
-1.954242509439325,O=C([O-])C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,,,,,,,,,,,,,,,,,,,,,
-2.4771212547196626,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,,,,,,,,,,-2.397940008672037,,,-2.4771212547196626,,,,-2.397940008672037,-2.4771212547196626,,-2.397940008672037,
